0,1001,300,2
3,5001,0,5
3,5002,0,5
3,5003,0,5
3,5004,0,6
1,7101,1,35
1,7102,1,40
3,5006,0,790
3,1002,0,791
3,5001,0,901
3,5002,0,901
3,5003,0,901
3,5004,0,909
1,7201,3,909
1,7202,3,909
3,5005,0,909
1,8201,3,909
1,8201,3,909
2,9001,950,969
3,5007,0,969
2,5009,4,969
3,2001,0,969
0,1001,300,2
3,5001,0,5
3,5002,0,5
3,5003,0,5
3,5004,0,6
1,7101,1,35
1,7102,1,40
3,5006,0,790
3,1002,0,791
3,5001,0,901
3,5002,0,901
3,5003,0,901
3,5004,0,909
1,7201,3,909
1,7202,3,909
3,5005,0,909
1,8201,3,909
1,8201,3,909
2,9001,950,969
3,5007,0,969
2,5009,4,969
3,2001,0,969
0,1001,300,2
3,5001,0,5
3,5002,0,5
3,5003,0,5
3,5004,0,6
1,7101,1,35
1,7102,1,40
3,5006,0,802
3,1002,0,803
3,5001,0,901
3,5002,0,901
3,5003,0,901
3,5004,0,909
1,7201,3,909
1,7202,3,909
3,5005,0,909
1,8201,3,909
1,8201,3,909
2,9001,950,969
3,5007,0,969
2,5009,4,969
3,2001,0,969
0,1001,300,2
3,5001,0,5
3,5002,0,5
3,5003,0,5
3,5004,0,6
1,7101,1,35
1,7102,1,40
3,5006,0,802
3,1002,0,803
3,5001,0,901
3,5002,0,901
3,5003,0,901
3,5004,0,909
1,7201,3,909
1,7202,3,909
3,5005,0,909
1,8201,3,909
1,8201,3,909
2,9001,950,969
3,5007,0,969
2,5009,4,969
3,2001,0,969
0,1001,300,2
3,5001,0,5
3,5002,0,5
3,5003,0,5
3,5004,0,6
1,7101,1,35
1,7102,1,40
3,5006,0,1165
3,1002,0,1166
3,5001,0,1201
3,5002,0,1201
3,5003,0,1201
3,5004,0,1209
1,7201,3,1209
1,7202,3,1209
3,5005,0,1209
1,8201,3,1209
1,8201,3,1209
2,9001,950,1269
3,5007,0,1269
2,5009,4,1269
3,2001,0,1269
0,1001,300,2
3,5001,0,5
3,5002,0,5
3,5007,0,5
2,5011,7,5
3,1002,0,7
1,7101,1,35
1,7102,1,40
3,2001,0,1200
0,1001,300,2
3,5001,0,5
3,5002,0,5
3,5003,0,5
3,5004,0,6
1,7101,1,35
1,7102,1,40
3,5006,0,1165
3,1002,0,1166
3,5001,0,1201
3,5002,0,1201
3,5003,0,1201
3,5004,0,1209
1,7201,3,1209
1,7202,3,1209
3,5005,0,1209
1,8201,3,1209
1,8201,3,1209
2,9001,950,1269
3,5007,0,1269
2,5009,4,1269
3,2001,0,1269
0,1001,300,2
3,5001,0,5
3,5002,0,5
3,5003,0,5
3,5004,0,6
1,7101,1,35
1,7102,1,40
3,5006,0,1165
3,1002,0,1166
3,5001,0,1201
3,5002,0,1201
3,5003,0,1201
3,5004,0,1209
1,7201,3,1209
1,7202,3,1209
3,5005,0,1209
1,8201,3,1209
1,8201,3,1209
2,9001,950,1269
3,5007,0,1269
2,5009,4,1269
3,2001,0,1269
